[  0%]           economybisection.f90
[ 20%]           economybisection.f90  done.
[ 20%]            UsedKCollateral.f90
[ 40%]            UsedKCollateral.f90  done.
[ 40%]           libUsedKCollateral.a
[ 60%]           libUsedKCollateral.a  done.
[ 60%]                       main.f90
[ 80%]                       main.f90  done.
[ 80%]                UsedKCollateral
[100%]                UsedKCollateral  done.
[100%] Project compiled successfully.
 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
  84        5.783209E-06        5.608847E-13        7.937500E-01        6.000000E+00
  85        4.996692E-06        0.000000E+00        7.937500E-01        6.000000E+00
  86        4.317142E-06        0.000000E+00        7.937500E-01        6.000000E+00
  87        3.730011E-06        0.000000E+00        7.937500E-01        6.000000E+00
  88        3.222729E-06        0.000000E+00        7.937500E-01        6.000000E+00
  89        2.784438E-06        0.000000E+00        7.937500E-01        6.000000E+00
  90        2.405755E-06        0.000000E+00        7.937500E-01        6.000000E+00
  91        2.078572E-06        0.000000E+00        7.937500E-01        6.000000E+00
  92        1.795886E-06        0.000000E+00        7.937500E-01        6.000000E+00
  93        1.551646E-06        0.000000E+00        7.937500E-01        6.000000E+00
  94        1.340622E-06        0.000000E+00        7.937500E-01        6.000000E+00
  95        1.158297E-06        0.000000E+00        7.937500E-01        6.000000E+00
  96        1.000769E-06        0.000000E+00        7.937500E-01        6.000000E+00
  97        8.646643E-07        0.000000E+00        7.937500E-01        6.000000E+00
  98        7.470700E-07        5.608847E-13        7.937500E-01        6.000000E+00
  99        6.454684E-07        5.608847E-13        7.937500E-01        6.000000E+00
 100        5.576848E-07        0.000000E+00        7.937500E-01        6.000000E+00
 101        4.818397E-07        0.000000E+00        7.937500E-01        6.000000E+00
 102        4.163094E-07        0.000000E+00        7.937500E-01        6.000000E+00
 103        3.596914E-07        0.000000E+00        7.937500E-01        6.000000E+00
 104        3.107734E-07        0.000000E+00        7.937500E-01        6.000000E+00
 105        2.685082E-07        0.000000E+00        7.937500E-01        6.000000E+00
 106        2.319911E-07        0.000000E+00        7.937500E-01        6.000000E+00
 107        2.004403E-07        0.000000E+00        7.937500E-01        6.000000E+00
