[  0%]                 parameters.f90
[  9%]                 parameters.f90  done.
[  9%]                     optMod.f90
[ 18%]                     optMod.f90  done.
[ 18%]              firmValueIter.f90
[ 27%]              firmValueIter.f90  done.
[ 27%]                    distMod.f90
[ 36%]                    distMod.f90  done.
[ 36%]           firmDistribution.f90
[ 45%]           firmDistribution.f90  done.
[ 45%]           calibrationStats.f90
[ 54%]           calibrationStats.f90  done.
[ 54%]           economybisection.f90
[ 63%]           economybisection.f90  done.
[ 63%]            UsedKCollateral.f90
[ 72%]            UsedKCollateral.f90  done.
[ 72%]           libUsedKCollateral.a
[ 81%]           libUsedKCollateral.a  done.
[ 81%]                       main.f90
[ 90%]                       main.f90  done.
[ 90%]                UsedKCollateral
[100%]                UsedKCollateral  done.
[100%] Project compiled successfully.
 Start!

 Run KT13 Replication


****************************************
Bisection initization at wlow:    1.0400
****************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
  78        2.915835E-06        7.520651E-13        2.486644E-01        5.610000E+00
  79        2.519281E-06        5.687983E-11        2.486644E-01        5.610000E+00
  80        2.176659E-06        3.837819E-11        2.486644E-01        5.610000E+00
  81        1.880633E-06        3.837819E-11        2.486644E-01        5.610000E+00
  82        1.624867E-06        4.262724E-11        2.486644E-01        5.610000E+00
  83        1.403885E-06        1.734435E-11        2.486644E-01        5.610000E+00
  84        1.212957E-06        2.462563E-11        2.486644E-01        5.610000E+00
  85        1.047995E-06        1.531530E-11        2.486644E-01        5.610000E+00
  86        9.054674E-07        7.938539E-12        2.486644E-01        5.610000E+00
  87        7.823239E-07        6.512835E-11        2.486644E-01        5.610000E+00
  88        6.759278E-07        5.718981E-11        2.486644E-01        5.610000E+00
  89        5.840016E-07        7.281287E-12        2.486644E-01        5.610000E+00
  90        5.045774E-07        1.531530E-11        2.486644E-01        5.610000E+00
  91        4.359549E-07        2.012612E-11        2.486644E-01        5.610000E+00
  92        3.766650E-07        4.906298E-12        2.486644E-01        5.610000E+00
  93        3.254386E-07        1.531530E-11        2.486644E-01        5.610000E+00
  94        2.811789E-07        1.531530E-11        2.486644E-01        5.610000E+00
  95        2.429386E-07        1.531530E-11        2.486644E-01        5.610000E+00
  96        2.098990E-07        7.185363E-12        2.486644E-01        5.610000E+00
  97        1.813527E-07        1.531530E-11        2.486644E-01        5.610000E+00
  98        1.566888E-07        1.381029E-11        2.486644E-01        5.610000E+00
  99        1.353791E-07        3.084466E-11        2.486644E-01        5.610000E+00
 100        1.169676E-07        2.462608E-11        2.486644E-01        5.610000E+00
