 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
  90        2.405364E-06        1.744027E-11        8.183183E-01        6.000000E+00
  91        2.078234E-06        1.496847E-11        8.183183E-01        6.000000E+00
  92        1.795594E-06        3.403189E-11        8.183183E-01        6.000000E+00
  93        1.551394E-06        1.562528E-11        8.183183E-01        6.000000E+00
  94        1.340404E-06        2.143885E-11        8.183183E-01        6.000000E+00
  95        1.158109E-06        3.812684E-11        8.183183E-01        6.000000E+00
  96        1.000606E-06        2.781286E-11        8.183183E-01        6.000000E+00
  97        8.645238E-07        3.681322E-11        8.183183E-01        6.000000E+00
  98        7.469486E-07        8.247625E-12        8.183183E-01        6.000000E+00
  99        6.453636E-07        3.584733E-11        8.183183E-01        6.000000E+00
 100        5.575941E-07        8.749446E-12        8.183183E-01        6.000000E+00
 101        4.817613E-07        3.215872E-11        8.183183E-01        6.000000E+00
 102        4.162418E-07        1.084115E-10        8.183183E-01        6.000000E+00
 103        3.596329E-07        1.025979E-10        8.183183E-01        6.000000E+00
 104        3.107228E-07        1.019411E-10        8.183183E-01        6.000000E+00
 105        2.684645E-07        2.356337E-11        8.183183E-01        6.000000E+00
 106        2.319534E-07        6.371881E-11        8.183183E-01        6.000000E+00
 107        2.004077E-07        2.806333E-11        8.183183E-01        6.000000E+00
 108        1.731523E-07        1.875344E-11        8.183183E-01        6.000000E+00
 109        1.496036E-07        1.896705E-11        8.183183E-01        6.000000E+00
 110        1.292575E-07        3.868728E-11        8.183183E-01        6.000000E+00
 111        1.116784E-07        4.950307E-11        8.183183E-01        6.000000E+00
 112        9.649023E-08        2.356337E-11        8.183183E-01        6.000000E+00
 113        8.336752E-08        3.534550E-11        8.183183E-01        6.000000E+00
 114        7.202954E-08        3.681366E-11        8.183183E-01        6.000000E+00
 115        6.223354E-08        3.468870E-11        8.183183E-01        6.000000E+00
 116        5.376978E-08        1.071943E-11        8.183183E-01        6.000000E+00
